PUDID,S_Hit_Rate,S_FalseAlarm_Rate,Item_Space_Rate,S_Dprime,S_Bias_c,C_Hit_Rate,C_FalseAlarm_Rate,Item_Color_Rate,C_Dprime,C_Bias_c,S_Hit_Rate_1st_Half,S_FalseAlarm_Rate_1st_Half,Item_Space_Rate_1st_Half,S_Dprime_1st_Half,S_Bias_c_1st_Half,C_Hit_Rate_1st_Half,C_FalseAlarm_Rate_1st_Half,Item_Color_Rate_1st_Half,C_Dprime_1st_Half,C_Bias_c_1st_Half,S_Hit_Rate_2nd_Half,S_FalseAlarm_Rate_2nd_Half,Item_Space_Rate_2nd_Half,S_Dprime_2nd_Half,S_Bias_c_2nd_Half,C_Hit_Rate_2nd_Half,C_FalseAlarm_Rate_2nd_Half,Item_Color_Rate_2nd_Half,C_Dprime_2nd_Half,C_Bias_c_2nd_Half,S_Hits_Raw,S_False_Alarm_Raw,S_Item_Location_Raw,S_Item_Location_Inc_but_Corr_Lef,S_Item_Location_Inc_but_Corr_Top,Spatial_Src_Inc_and_OppositeCorn,TRsourcehit,TLsourcehit,BLsourcehit,BRsourcehit,Spatial_number_Old_Raw,Spatial_number_New_Raw,Spatial_Hit_Raw,numFalseAlarmsRaw,TLhit,TRdehit,BLhit,BRhit,Color_Hit_Raw,Color_FalseAlarm_Raw,Color_Source_Raw,Color_num_Old_raw,Color_num_New_Raw
1,0.64,0.06,0.5,1.913232388,0.598157401,0.58,0,0.344827586,2.528241353,1.062227197,0.791666667,0.076923077,0.421052632,2.238294674,0.306929535,0.727272727,0,0.375,2.704750839,0.747790073,0.518518519,0.041666667,0.571428571,1.778100121,0.842614336,0.464285714,0,0.307692308,1.92944385,1.054364276,32,3,16,9,5,2,4,5,5,2,50,50,32,3,7,9,9,7,29,0,10,50,50
3,0.98,0.06,1,3.608522505,-0.249487658,0.94,0,0.808510638,3.881121469,0.38578714,1,0.038461538,1,3.80565917,-0.134004547,1,0,0.818181818,4.100589062,0.049870962,0.962962963,0.083333333,1,3.169149688,-0.201580717,0.892857143,0,0.8,3.260952992,0.388609704,49,3,49,0,0,0,13,12,13,11,50,50,49,3,12,13,13,11,47,0,38,50,50
4,0.9,0.04,0.911111111,3.032237637,0.234567253,0.86,0.04,0.488372093,2.831005412,0.335183365,0.958333333,0,0.956521739,3.801566227,0.169118717,0.909090909,0.071428571,0.6,2.800411529,0.065028028,0.851851852,0.083333333,0.826086957,2.427402922,0.169292666,0.821428571,0,0.391304348,2.939909177,0.549131612,45,2,41,1,1,2,11,11,11,8,50,50,45,2,12,12,11,10,43,2,21,50,50
5,0.2,0,0.7,1.48472664,1.583984554,0.38,0,0.315789474,2.020867086,1.315914331,0.25,0,0.666666667,1.395412081,1.372195791,0.545454545,0,0.333333333,2.214350787,0.992990099,0.148148148,0,0.75,0.992425337,1.540621463,0.25,0,0.285714286,1.34459645,1.346787975,10,0,7,1,1,1,2,1,2,2,50,50,10,0,2,3,3,2,19,0,6,50,50
6,0.72,0.02,0.888888889,2.636590418,0.735453702,0.82,0.02,0.56097561,2.969113998,0.569191911,0.695652174,0,0.875,2.59729178,0.786709676,0.84,0,0.523809524,3.048206794,0.529645514,0.75,0.043478261,0.904761905,2.386165057,0.518592778,0.807692308,0.04,0.619047619,2.620109845,0.440631149,36,1,32,2,1,1,8,7,10,7,50,50,36,1,7,9,10,10,41,1,23,50,50
7,0.68,0.02,0.764705882,2.52144771,0.793025056,0.78,0.02,0.487179487,2.825942125,0.640777848,0.72,0.04,0.777777778,2.333527579,0.583922282,0.76,0.04,0.631578947,2.456988634,0.522191754,0.653846154,0,0.764705882,2.449474206,0.829011807,0.769230769,0,0.35,2.790064828,0.658716497,34,1,26,2,3,3,11,4,7,4,50,50,34,1,7,11,11,5,39,1,19,50,50
8,0.48,0,0.75,2.276194291,1.188250729,0.88,0,0.659090909,3.501334666,0.575680541,0.541666667,0,0.769230769,2.174535287,0.982634188,0.909090909,0,0.7,3.435343229,0.382493878,0.407407407,0,0.727272727,1.802614938,1.135526663,0.857142857,0,0.625,3.086656724,0.475757838,24,0,18,5,1,0,5,3,7,3,50,50,24,0,5,7,7,5,44,0,29,50,50
9,0.632653061,0.08,0.548387097,1.743959862,0.533091629,0.84,0.06,0.404761905,2.549231478,0.280157856,0.833333333,0.04,0.5,2.718107637,0.391632253,0.92,0.12,0.434782609,2.580058352,-0.115042384,0.423076923,0.12,0.636363636,0.98095865,0.684507467,0.769230769,0,0.4,2.790064828,0.658716497,31,4,17,5,4,5,3,3,4,7,49,50,31,4,7,5,10,9,42,3,17,50,50
10,0.72,0.06,0.583333333,2.137615102,0.485966044,,,,,,0.8,0.04,0.6,2.592307305,0.454532419,,,,,,0.653846154,0.08,0.588235294,1.800796856,0.504673132,,,,,,36,3,21,4,7,4,7,5,4,5,50,50,36,3,8,10,8,10,28,1,4,50,50
11,0.66,0.06,0.424242424,1.967236724,0.571155233,0.86,0.02,0.813953488,3.134068251,0.486714785,0.72,0.08,0.5,1.987913068,0.411115027,0.84,0.04,0.80952381,2.745143954,0.378114094,0.615384615,0.04,0.375,2.044067303,0.72865242,0.884615385,0,0.782608696,3.252128613,0.427684604,33,3,14,4,11,4,3,7,2,2,50,50,33,3,10,8,10,5,43,1,35,50,50
