PUDID,S_Hit_Rate,S_FalseAlarm_Rate,Item_Space_Rate,S_Dprime,S_Bias_c,C_Hit_Rate,C_FalseAlarm_Rate,Item_Color_Rate,C_Dprime,C_Bias_c,S_Hit_Rate_1st_Half,S_FalseAlarm_Rate_1st_Half,Item_Space_Rate_1st_Half,S_Dprime_1st_Half,S_Bias_c_1st_Half,C_Hit_Rate_1st_Half,C_FalseAlarm_Rate_1st_Half,Item_Color_Rate_1st_Half,C_Dprime_1st_Half,C_Bias_c_1st_Half,S_Hit_Rate_2nd_Half,S_FalseAlarm_Rate_2nd_Half,Item_Space_Rate_2nd_Half,S_Dprime_2nd_Half,S_Bias_c_2nd_Half,C_Hit_Rate_2nd_Half,C_FalseAlarm_Rate_2nd_Half,Item_Color_Rate_2nd_Half,C_Dprime_2nd_Half,C_Bias_c_2nd_Half,S_Hits_Raw,S_False_Alarm_Raw,S_Item_Location_Raw,S_Item_Location_Inc_but_Corr_Lef,S_Item_Location_Inc_but_Corr_Top,Spatial_Src_Inc_and_OppositeCorn,TRsourcehit,TLsourcehit,BLsourcehit,BRsourcehit,Spatial_number_Old_Raw,Spatial_number_New_Raw,Spatial_Hit_Raw,numFalseAlarmsRaw,TLhit,TRdehit,BLhit,BRhit,Color_Hit_Raw,Color_FalseAlarm_Raw,Color_Source_Raw,Color_num_Old_raw,Color_num_New_Raw
1390,0.4,0.34,0.35,0.159116026,0.332905116,0.78,0,0.435897436,3.098541088,0.77707733,0.481481481,0.304347826,0.461538462,0.465500489,0.279185969,0.68,0,0.470588235,2.52144771,0.793025056,0.333333333,0.37037037,0.125,-0.099854728,0.380799936,0.88,0,0.409090909,3.244888623,0.447457519,20,17,7,5,5,3,2,2,3,0,50,50,20,17,6,5,5,4,39,0,17,50,50
1391,0.92,0.18,0.673913043,2.320436648,-0.244853236,0.86,0.02,0.511627907,3.134068251,0.486714785,0.913043478,0.074074074,0.80952381,2.805840977,0.043183104,0.88,0,0.590909091,3.228735703,0.439381059,0.928571429,0.304347826,0.538461538,1.977170007,-0.476648789,0.846153846,0.04,0.409090909,2.770762304,0.365304919,46,9,31,7,7,1,7,8,8,8,50,50,46,9,10,11,13,12,43,1,22,50,50
1392,0.9,0.08,0.644444444,2.686623126,0.061759997,1,0.04,0.7,4.077033945,-0.287830901,1,0,0.64,4.107497821,2.22045E-16,1,0.08,0.76,3.458820471,-0.324338675,0.807692308,0.16,0.666666667,1.863881656,0.062517055,1,0,0.653846154,4.123650742,-0.00807646,45,4,29,3,9,4,7,9,9,4,50,50,45,4,11,10,13,11,50,2,35,50,50
1393,0.44,0.2,0.272727273,0.690652018,0.496295225,0.78,0,0.435897436,3.098541088,0.77707733,0.44,0.04,0.454545455,1.599716856,0.950827643,0.76,0,0.526315789,2.760051473,0.673723174,0.423076923,0.36,0.090909091,0.164430651,0.276243468,0.807692308,0,0.333333333,2.923172684,0.592162569,22,10,6,7,4,5,1,1,2,2,50,50,22,10,2,5,7,8,39,0,17,50,50
1394,0.84,0.04,0.80952381,2.745143954,0.378114094,0.92,0.04,0.934782609,3.155757632,0.172807255,0.833333333,0.038461538,0.9,2.736246605,0.400701736,0.954545455,0.071428571,0.952380952,3.155855422,-0.112693918,0.851851852,0.041666667,0.739130435,2.776073191,0.343627801,0.892857143,0,0.92,3.260952992,0.388609704,42,2,34,3,4,1,6,9,11,8,50,50,42,2,10,11,12,9,46,2,43,50,50
1395,0.74,0.04,0.702702703,2.394031477,0.553670333,0.56,0.06,0.607142857,1.70574281,0.70190219,0.826086957,0.037037037,0.736842105,2.724969878,0.423670622,0.52,0.04,0.769230769,1.800839655,0.850266244,0.642857143,0.043478261,0.666666667,2.077781663,0.672784475,0.576923077,0.08,0.466666667,1.599099703,0.605521709,37,2,26,4,3,4,6,8,7,5,50,50,37,2,9,9,11,8,28,3,17,50,50
1396,0.92,0.02,0.934782609,3.458820471,0.324338675,0.92,0,0.891304348,3.731419434,0.460638157,1,0.038461538,0.958333333,3.80565917,-0.134004547,0.863636364,0,0.894736842,3.196969055,0.501680965,0.851851852,0,0.913043478,3.081242927,0.496212668,0.964285714,0,0.888888889,3.821829291,0.108171555,46,1,43,1,0,2,11,11,12,9,50,50,46,1,11,12,13,10,46,0,41,50,50
1397,0.52,0,0.846153846,2.376501458,1.138097145,0.86,0,0.372093023,3.406667215,0.623014267,0.652173913,0,0.8,2.476551824,0.847079654,0.88,0,0.363636364,3.228735703,0.439381059,0.428571429,0,0.916666667,1.839073831,1.099549285,0.846153846,0,0.363636364,3.073825143,0.516836339,26,0,22,1,1,2,9,5,4,4,50,50,26,0,6,9,6,5,43,0,16,50,50
1398,0.08,0.02,0.25,0.64867735,1.729410235,0.28,0.06,0.071428571,0.971932087,1.068807551,0.086956522,0.037037037,0,0.426418177,1.572946473,0.32,0.12,0,0.707287993,0.821342796,0.071428571,0,0.5,0.553852408,1.742159997,0.230769231,0,0.166666667,1.317432993,1.395032414,4,1,1,2,0,1,0,1,0,0,50,50,4,1,1,1,1,1,14,3,1,50,50
1399,0.54,0.04,0.37037037,1.851119792,0.825126175,0.9,0.02,0.466666667,3.335300476,0.386098673,0.666666667,0,0.333333333,2.4498135,0.794179451,0.88,0.04,0.454545455,2.925672863,0.28784964,0.416666667,0.074074074,0.5,1.235675199,0.828265994,0.92,0.038461538,0.47826087,3.173896599,0.181876739,27,2,10,6,6,5,2,4,2,2,50,50,27,2,10,5,4,8,45,1,21,50,50
1400,0.48,0,0.75,2.276194291,1.188250729,0.98,0.02,0.346938776,4.107497821,2.22045E-16,0.555555556,0,0.6,2.158796499,0.939687951,1,0,0.32,4.107497821,2.22045E-16,0.375,0,1,1.766716202,1.201997465,0.96,0.038461538,0.375,3.51951111,0.009069484,24,0,18,2,4,0,2,6,5,5,50,50,24,0,9,4,5,6,49,1,17,50,50
1401,0.62,0.02,0.838709677,2.359229699,0.874134061,0.84,0.02,0.738095238,3.048206794,0.529645514,0.72,0.04,0.833333333,2.333527579,0.583922282,0.96,0.04,0.75,3.501372143,0,0.538461538,0,0.785714286,2.150307526,0.978595148,0.730769231,0,0.736842105,2.668890015,0.719303903,31,1,26,2,2,1,6,8,8,4,50,50,31,1,10,7,9,5,42,1,31,50,50
1402,0.8,0.02,0.8,2.895370144,0.606063839,0.88,0.02,0.863636364,3.228735703,0.439381059,0.96,0.04,0.75,3.501372143,0,0.92,0,0.869565217,3.458820471,0.324338675,0.653846154,0,0.882352941,2.449474206,0.829011807,0.846153846,0.04,0.818181818,2.770762304,0.365304919,40,1,32,6,2,0,10,10,6,6,50,50,40,1,10,11,10,9,44,1,38,50,50
